[main] INFO  | com.openmine.client.OpenMine                                 | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine                                 | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine   | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:32)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (OpenMine.java:22)
[main] ERROR | com.openmine.client.OpenMine             | Catching (OpenMine.java:25)
java.lang.RuntimeException: Cannot initialize GLFW !
	at com.openmine.client.OpenMine.createWindow(OpenMine.java:25) [bin/:?]
	at com.openmine.client.OpenMine.main(OpenMine.java:34) [bin/:?]
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:33)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (OpenMine.java:22)
[main] ERROR | com.openmine.client.OpenMine             | Catching (OpenMine.java:25)
java.lang.RuntimeException: Cannot initialize GLFW !
	at com.openmine.client.OpenMine.createWindow(OpenMine.java:25) [bin/:?]
	at com.openmine.client.OpenMine.main(OpenMine.java:35) [bin/:?]
[main] INFO  | com.openmine.client.OpenMine             | TEst (OpenMine.java:27)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:51)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (OpenMine.java:25)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Window created in 547 s ! (Window.java:44)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Window created in 547 ms ! (Window.java:44)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:27)
[main] INFO  | com.openmine.client.OpenMine             | Window created in 523 ms ! (Window.java:54)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
[main] INFO  | com.openmine.client.OpenMine             | Creating the Window ! (Window.java:27)
[main] INFO  | com.openmine.client.OpenMine             | Window created in 484 ms ! (Window.java:56)
[main] INFO  | com.openmine.client.OpenMine             | Starting OpenMine... (OpenMine.java:20)
